"","patch","id","Elements2008","Elements2008.4","cat","type","Ha","area","x","y","size.cat","sizeCat","size.cat2","pj08","pj89","pop09","grazing","Dc.89","Dc.09","Sampled"
"20","A18",20,3,2,"4","A",0.307296328,0.0031,4427030.229,5426590.403,2500,"2.5","50",0.42,0.27,4,2,1,1,1
"21","A19",21,0,0,"2","B",0.027784318,3e-04,4427051.645,5428172.848,2500,"2.5","50",0.13,0.21,0,1,0,0,0
"22","A20",22,1,1,"3","B",0.206933246,0.0021,4427195.757,5427309.582,400,"0.4","20",0.6,0.48,3,3,1,1,1
"23","A21",23,5,4,"4","A",0.174179499,0.0017,4426924.407,5427173.079,2500,"2.5","50",0.79,0.77,3,3,1,1,1
"24","A22",24,3,3,"2","B",0.060451465,6e-04,4426886.727,5427122.108,100,"0.1","10",0.65,0.33,2,3,1,1,0
"25","A23",25,3,3,"3","A",0.163963839,0.0016,4426488.856,5426931.709,400,"0.4","20",0.6,0.44,3,3,1,1,1
"26","A24",26,3,3,"5","AC",0.532038404,0.0053,4426098.929,5427000.869,2500,"2.5","50",0.77,0.54,2,3,1,1,1
"27","A25",27,2,2,"3","A",0.062708144,6e-04,4422651.199,5425339.23,2500,"2.5","50",0.67,0.44,2,2,1,1,1
"28","A26",28,3,3,"4","D",0.093210735,9e-04,4422713.323,5425141.846,2500,"2.5","50",0.69,0.4,2,2,0,1,1
"29","A27",29,1,1,"3","AC",0.117223664,0.0012,4422675.906,5424899.721,400,"0.4","20",0.42,0.33,0,1,0,0,0
"30","A28",30,2,2,"4","A",0.129149832,0.0013,4422592.878,5424800.336,2500,"2.5","50",0.63,0.52,3,1,1,1,1
"31","A28a",31,2,2,"4","A",0.175787691,0.0018,4422664.286,5424832.714,2500,"2.5","50",0.5,0.29,0,2,0,0,0
"32","A29",32,3,3,"3","D",0.120258512,0.0012,4422650.581,5424711.575,400,"0.4","20",0.73,0.58,3,2,1,1,1
"33","A30",33,0,0,"1","A",0.024137941,2e-04,4422796.741,5424570.153,25,"0.025","5",0.13,0.19,0,1,0,0,0
"34","A31",34,3,3,"5","C",0.125042139,0.0013,4422515.522,5424579.567,2500,"2.5","50",0.69,0.42,4,2,0,1,1
"35","A32",35,1,1,"1","D",0.017503649,2e-04,4422453.228,5424431.123,25,"0.025","5",0.46,0.31,2,2,0,1,0
"36","A33",36,4,3,"5","C",0.330791258,0.0033,4422315.353,5424161.6,2500,"2.5","50",0.54,0.4,3,2,0,1,1
"37","A34",37,4,3,"5","C",0.279758192,0.0028,4422229.67,5423956.323,2500,"2.5","50",0.65,0.19,3,2,0,1,0
"38","A35",38,2,2,"3","A",0.067794797,7e-04,4423010.027,5423961.957,400,"0.4","20",0.23,0.29,0,1,0,0,0
"39","A36",39,4,3,"3","D",0.121521558,0.0012,4426193.443,5423772.631,400,"0.4","20",0.54,0.56,2,1,1,1,1
"40","A37",40,5,4,"3","A",0.077780005,8e-04,4425788.937,5423852.834,400,"0.4","20",0.52,0.42,2,1,0,1,1
