population	family	longitude	latitude	elev	max_rad	tmax_july	tmin_jan	ann_ppt	gdd_aug	AWS050
mt watson	201	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37
mt watson	202	-120.1535752	39.22002145	2418	57.22	23.7	-7.2	1035	209	7.37
mt watson	203	-120.1535716	39.21867905	2432	68.51	23.7	-7.2	1035	209	7.37
mt watson	205	-120.1535716	39.21867905	2432	68.51	23.7	-7.2	1035	209	7.37
mt watson	206	-120.1535716	39.21867905	2432	68.51	23.7	-7.2	1035	209	7.37
mt watson	208	-120.1535716	39.21867905	2432	68.51	23.7	-7.2	1035	209	7.37
mt watson	209	-120.1535716	39.21867905	2432	68.51	23.7	-7.2	1035	209	7.37
armstrong	211	-119.912236	38.83090643	2645	67.48	21.6	-9	1100	207	2.75
armstrong	212	-119.912236	38.83090643	2645	67.48	21.6	-9	1100	207	2.75
armstrong	213	-119.912236	38.83090643	2645	67.48	21.6	-9	1100	207	2.75
armstrong	215	-119.912236	38.83090643	2645	67.48	21.6	-9	1100	207	2.75
armstrong	217	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75
armstrong	218	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75
armstrong	219	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75
armstrong	221	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75
armstrong	223	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75
armstrong	224	-119.9109253	38.83181313	2664	79.98	21.6	-9	1100	207	2.75
armstrong	225	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75
armstrong	226	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75
armstrong	227	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75
armstrong	228	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75
armstrong	230	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75
armstrong	231	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75
armstrong	232	-119.9100586	38.83202401	2681	84.84	21.6	-9	1100	207	2.75
meiss mdw	233	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93
meiss mdw	234	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93
meiss mdw	235	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93
meiss mdw	236	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93
meiss mdw	237	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93
meiss mdw	238	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93
meiss mdw	239	-119.9985206	38.71979443	2674	74.45	21.3	-8.3	1310	214	2.93
meiss mdw	241	-119.9960824	38.72061399	2691	77.7	21.3	-8.3	1310	214	2.93
meiss mdw	242	-119.9960824	38.72061399	2691	77.7	21.3	-8.3	1310	214	2.93
meiss mdw	244	-119.9960824	38.72061399	2691	77.7	21.3	-8.3	1310	214	2.93
meiss mdw	245	-119.9960824	38.72061399	2691	77.7	21.3	-8.3	1310	214	2.93
meiss mdw	246	-119.9960824	38.72061399	2691	77.7	21.3	-8.3	1310	214	2.93
meiss mdw	247	-119.996015	38.72203015	2674	69.83	21.3	-8.3	1310	214	2.93
meiss mdw	248	-119.996015	38.72203015	2674	69.83	21.3	-8.3	1310	214	2.93
meiss mdw	249	-119.996015	38.72203015	2674	69.83	21.3	-8.3	1310	214	2.93
meiss mdw	250	-119.996015	38.72203015	2674	69.83	21.3	-8.3	1310	214	2.93
meiss mdw	251	-119.996015	38.72203015	2674	69.83	21.3	-8.3	1310	214	2.93
meiss mdw	253	-119.996015	38.72203015	2674	69.83	21.3	-8.3	1310	214	2.93
